text_final,airline_sentiment,airline,tweet_created,negativereason
like customer service min delay connecting passenger seems long va,negative,Virgin America,2015-02-22 21:56:44 -0800,Customer Service Issue
thanks outstanding nycjfk crew moved mountain get home san francisco tonight !,positive,Virgin America,2015-02-22 20:23:27 -0800,
absolute best team customer service ever every time fly delighted thank !,positive,Virgin America,2015-02-22 17:48:33 -0800,
provide complimentary upgrade first class available seat ?,neutral,Virgin America,2015-02-22 17:45:25 -0800,
need change flight scheduled hour min wait time phone calling intern help ! !,negative,Virgin America,2015-02-22 17:14:06 -0800,Customer Service Issue
completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,positive,Virgin America,2015-02-22 16:18:33 -0800,
watch oscar jfkgtsfo flight ?,neutral,Virgin America,2015-02-22 16:05:07 -0800,
flight cancelled flightled ?,neutral,Virgin America,2015-02-22 15:41:51 -0800,
failing customer check process not link tsa precheck,negative,Virgin America,2015-02-22 15:40:12 -0800,Customer Service Issue
u ! terrible airline ! gave u hotel hotline number said sorry,negative,Virgin America,2015-02-22 15:06:19 -0800,Can't Tell
flight number sfo cabo san lucas arrived yet ?,neutral,Virgin America,2015-02-22 15:03:35 -0800,
assistance yesterday cancelled flightled flight give u hotel hotline shame !,negative,Virgin America,2015-02-22 15:02:11 -0800,Cancelled Flight
another delayed flight ? likingyoulessandless,negative,Virgin America,2015-02-22 14:49:31 -0800,Late Flight
need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative,Virgin America,2015-02-22 14:39:09 -0800,Customer Service Issue
rock making watch oscar flight ! ! redcarpet oscar oscar,positive,Virgin America,2015-02-22 14:32:14 -0800,
dropped track,neutral,Virgin America,2015-02-22 14:31:43 -0800,
always ! ! ! xoxo,positive,Virgin America,2015-02-22 14:09:50 -0800,
cannot book seat flight buy even check ? creates much anxiety ! frustrated,negative,Virgin America,2015-02-22 14:07:43 -0800,Flight Booking Problems
would think paying extra buck rt luggage might afford hiring extra hand lame,negative,Virgin America,2015-02-22 14:03:34 -0800,Flight Attendant Complaints
best customer service rep world ! irmafromdallas take cake ! ! !,positive,Virgin America,2015-02-22 13:55:28 -0800,
find u flt lax sooner midnight monday ? would great customer service,neutral,Virgin America,2015-02-22 13:49:59 -0800,
please provide status flight cannot imagine time web indicates dude weather andor dallas,negative,Virgin America,2015-02-22 13:47:02 -0800,Late Flight
amazing staff amp super helpful ran princesshalf spoiled comfort ! ! !,positive,Virgin America,2015-02-22 13:45:41 -0800,
paid premium fly across country cancelled flight flight offer no check fee upgrade love ? sad face,negative,Virgin America,2015-02-22 13:29:34 -0800,Cancelled Flight
question not possible book seat infant ? not giving option want seat,negative,Virgin America,2015-02-22 13:23:03 -0800,Flight Booking Problems
always together ! ! ! welcome ! rt welcome,positive,Virgin America,2015-02-22 12:49:25 -0800,
flight home dc sunset globe backtowinter back work ! refreshed,positive,Virgin America,2015-02-22 12:35:49 -0800,
not understand need dm give answer damaged luggage policy,negative,Virgin America,2015-02-22 12:34:26 -0800,Damaged Luggage
mean not policy destroyed luggage ?,negative,Virgin America,2015-02-22 12:27:38 -0800,Damaged Luggage
special assistance travel alone w kid infant ? priority boarding ?,neutral,Virgin America,2015-02-22 11:56:57 -0800,
thank checking ticket purchased customer happy,positive,Virgin America,2015-02-22 11:33:40 -0800,
website ever coming back online ?,neutral,Virgin America,2015-02-22 11:13:18 -0800,
flight love field sfo definitely cancelled flightled monday february ?,neutral,Virgin America,2015-02-22 11:10:37 -0800,
flight lga dfw time ?,neutral,Virgin America,2015-02-22 11:10:30 -0800,
driver license expired little month fly friday morning using expired license ?,neutral,Virgin America,2015-02-22 11:10:27 -0800,
problem flight booking problem web site keep giving error contact phone phone minute wait,negative,Virgin America,2015-02-22 11:02:26 -0800,Customer Service Issue
reschedule cancelled flightled flight online ? change button greyed !,negative,Virgin America,2015-02-22 11:01:38 -0800,Cancelled Flight
rang wait minute ! ! book ticket vendor fix site,negative,Virgin America,2015-02-22 10:38:45 -0800,Flight Booking Problems
got flight told todaychecked email tomorrow unacceptable,negative,Virgin America,2015-02-22 10:30:17 -0800,Late Flight
flight lga cancelled flighted stuck dallas called reschedule told could get flight today,negative,Virgin America,2015-02-22 10:29:19 -0800,Cancelled Flight
not pairing include red wine ? ! white offered redwineisbetter,negative,Virgin America,2015-02-22 10:19:45 -0800,Bad Flight
website ?,negative,Virgin America,2015-02-22 08:56:00 -0800,Customer Service Issue
site seems little wonked right may want look tried two browser no cs ?,negative,Virgin America,2015-02-22 08:53:08 -0800,Customer Service Issue
disappointed agent designated silver status check line closed assist pasengers,negative,Virgin America,2015-02-22 05:51:43 -0800,Customer Service Issue
plan include austin dallas route topnews arab emirate,neutral,Virgin America,2015-02-22 05:02:06 -0800,
normal receive no reply central baggage baggageissues smh,negative,Virgin America,2015-02-22 04:43:56 -0800,Customer Service Issue
logan airport waiting checkin flight checkin desk not open ! ! ! ? !,negative,Virgin America,2015-02-22 03:39:28 -0800,longlines
jump dallasaustin market,neutral,Virgin America,2015-02-22 03:32:07 -0800,
beat eps view take southwestair va love investor business daily,neutral,Virgin America,2015-02-22 03:02:06 -0800,
lister show monday,neutral,Virgin America,2015-02-22 02:42:16 -0800,
begin dallasaustin flight april ketr,neutral,Virgin America,2015-02-22 01:32:05 -0800,
congrats got business ewr sfolax fuck fl sfoewr clincher,negative,Virgin America,2015-02-21 21:32:59 -0800,Can't Tell
applied week ago not heard back flying week disappointed,negative,Virgin America,2015-02-21 21:28:42 -0800,Customer Service Issue
would love know policy damaged luggage,neutral,Virgin America,2015-02-21 20:41:55 -0800,
thank follow,positive,Virgin America,2015-02-21 20:33:30 -0800,
many apology ! r worse airline ! not even respond cudtomers,negative,Virgin America,2015-02-21 20:21:23 -0800,Customer Service Issue
shame va making people spend money stranded city airline landing jfk ! reimburse ?,negative,Virgin America,2015-02-21 20:11:40 -0800,Cancelled Flight
dm,neutral,Virgin America,2015-02-21 18:35:27 -0800,
please flight sjc ? no choice fly vega,neutral,Virgin America,2015-02-21 18:29:40 -0800,
bad say take day via confirmation email inquired week claim week !,negative,Virgin America,2015-02-21 18:29:35 -0800,Customer Service Issue
flight bos gt la tomorrow cancelled flightled no notification wait time hour rebook another airline ?,negative,Virgin America,2015-02-21 18:11:58 -0800,Cancelled Flight
rt youve met match got status another airline ? upgrade restr,positive,Virgin America,2015-02-21 18:09:54 -0800,
way fly ! elevate gold,positive,Virgin America,2015-02-21 18:02:51 -0800,
guy flight cmh,neutral,Virgin America,2015-02-21 17:43:33 -0800,
lot apology thrown customer seevery sad thanks nothing worst airline ever,negative,Virgin America,2015-02-21 17:41:48 -0800,Can't Tell
flight stuff wrong nothing worst flight ever,negative,Virgin America,2015-02-21 17:40:07 -0800,Flight Attendant Complaints
issue finding missing item plane help find airport plane headed next ?,neutral,Virgin America,2015-02-21 17:18:10 -0800,
match americanairlines status ? cool !,positive,Virgin America,2015-02-21 17:15:29 -0800,
met matchgot status another airline ? upgrade ?,neutral,Virgin America,2015-02-21 17:14:35 -0800,
trying book flight guy website not let lose business,negative,Virgin America,2015-02-21 17:13:52 -0800,Flight Booking Problems
suck !,negative,Virgin America,2015-02-21 17:13:29 -0800,Can't Tell
dmd issue persisting,negative,Virgin America,2015-02-21 16:19:33 -0800,Flight Booking Problems
never recd cancelled flightlation notice left w no option fly p driving la red eye mon w kid,negative,Virgin America,2015-02-21 15:47:19 -0800,Cancelled Flight
trying book flight amp site,negative,Virgin America,2015-02-21 15:29:51 -0800,Flight Booking Problems
flight flying boston tomorrow ? need home cancelled flightled flight not anything,negative,Virgin America,2015-02-21 15:27:52 -0800,Cancelled Flight
stink flight cancelled flighted psp jfk no notification ability rebook disappointed expected better,negative,Virgin America,2015-02-21 14:34:09 -0800,Cancelled Flight
love guy song ! dancing high school dance revue,positive,Virgin America,2015-02-21 14:28:57 -0800,
website trying check !,negative,Virgin America,2015-02-21 14:27:45 -0800,Customer Service Issue
done ! thank quick response apparently faster sitting hold,positive,Virgin America,2015-02-21 14:24:16 -0800,
nervous flight dc lax getting cancelled flightled tomorrow ! sent dm help !,neutral,Virgin America,2015-02-21 14:23:24 -0800,
cool picture another plane wing site !,positive,Virgin America,2015-02-21 14:21:00 -0800,
keep great work,positive,Virgin America,2015-02-21 13:52:20 -0800,
goodness people field amazing pressure texas beatstheothers crisis please fly ny,positive,Virgin America,2015-02-21 13:52:02 -0800,
thanks great flight la boston ! pilot great job landing snow go back la ? seriously,positive,Virgin America,2015-02-21 13:41:02 -0800,
please get new york area monday afternoon,neutral,Virgin America,2015-02-21 13:32:58 -0800,
thanks much awesome support guy rock !,positive,Virgin America,2015-02-21 13:32:49 -0800,
seat row not recline mention website soreback,negative,Virgin America,2015-02-21 13:30:18 -0800,Bad Flight
flight delayed hour la due mechanical problem handle like pro could tossed u free drink,negative,Virgin America,2015-02-21 13:28:49 -0800,Late Flight
cancelled flight flight today ? no precipitation scared !,negative,Virgin America,2015-02-21 13:18:45 -0800,Cancelled Flight
twitter team guy killed rescheduling soon possible thank !,positive,Virgin America,2015-02-21 13:00:26 -0800,
guy charged reschedule flight cancelled flighted refusing refund deal ?,negative,Virgin America,2015-02-21 12:54:58 -0800,Cancelled Flight
cant access website safari iphone seems work mac ipad need iphone add passbook,negative,Virgin America,2015-02-21 12:48:31 -0800,Customer Service Issue
ipad iphone clicking checkin link email received hr flight,neutral,Virgin America,2015-02-21 12:45:25 -0800,
mobile site broken show headerelevateusernumofpointsavailable number point not let checkin,negative,Virgin America,2015-02-21 12:44:32 -0800,Customer Service Issue
really looking forward flight let know rescheduled ? diehardvirgin,negative,Virgin America,2015-02-21 12:23:36 -0800,Cancelled Flight
cancelled flight flight vx ? one sec delayed airport next cancelled flightled ? going email call reschedule ?,negative,Virgin America,2015-02-21 12:18:51 -0800,Cancelled Flight
problem link email checkin thanks,negative,Virgin America,2015-02-21 12:07:17 -0800,Customer Service Issue
change another airline get dc today able land dc not ? cost ugh,negative,Virgin America,2015-02-21 11:56:47 -0800,Flight Booking Problems
looking forward first flight today cancelled flightled along subsequent one,negative,Virgin America,2015-02-21 11:55:01 -0800,Cancelled Flight
putting great deal pdx la la pdx show love !,positive,Virgin America,2015-02-21 11:49:53 -0800,
wish afford fly next friday going back home love everything airline,positive,Virgin America,2015-02-21 11:45:41 -0800,
going deal dallas dc no deal dc dallas ? sad,negative,Virgin America,2015-02-21 11:44:33 -0800,Can't Tell
bug report guy,neutral,Virgin America,2015-02-21 11:40:53 -0800,
hold time call center bit much,negative,Virgin America,2015-02-21 11:35:03 -0800,Customer Service Issue
like,positive,Virgin America,2015-02-21 11:10:26 -0800,
site ? help,negative,Virgin America,2015-02-21 11:06:53 -0800,Flight Booking Problems
best flight attendant ever ! ! !,positive,Virgin America,2015-02-21 10:58:30 -0800,
awesome ! rt watch nominated film foot meetthefleet oscar,positive,Virgin America,2015-02-21 10:54:11 -0800,
thanks much !,positive,Virgin America,2015-02-21 10:40:51 -0800,
trying reset password email never arrives help ?,negative,Virgin America,2015-02-21 10:37:28 -0800,Customer Service Issue
airline based silicon valley ! disruption fcmostinnovative incubator,positive,Virgin America,2015-02-21 10:31:11 -0800,
nicely done,positive,Virgin America,2015-02-21 10:28:13 -0800,
im looking forward watching oscar flight home tomorrow might even get something bubbly drink !,positive,Virgin America,2015-02-21 10:22:57 -0800,
reason delay departure vx jfk afternoon ?,negative,Virgin America,2015-02-21 10:22:54 -0800,Late Flight
today flight palm spring ca jfk ny cancelled flightled ?,negative,Virgin America,2015-02-21 10:15:39 -0800,Cancelled Flight
hahaha guy amazing love guy ! ! !,positive,Virgin America,2015-02-21 10:12:58 -0800,
sound like fun !,positive,Virgin America,2015-02-21 10:12:25 -0800,
update flight jfk gt lax,neutral,Virgin America,2015-02-21 10:11:00 -0800,
spruce moose !,neutral,Virgin America,2015-02-21 10:10:37 -0800,
cs site right please fix site unusable,negative,Virgin America,2015-02-21 09:51:48 -0800,Customer Service Issue
flight vega boston today checked online bag count not register fix somehow ?,negative,Virgin America,2015-02-21 09:10:18 -0800,Lost Luggage
classiq love virgin america greetingz,positive,Virgin America,2015-02-21 09:03:30 -0800,
hi trying checkin website not working tried different browser problem continues,negative,Virgin America,2015-02-21 08:59:06 -0800,Customer Service Issue
thanks great customer service today amp helping get travel sorted !,positive,Virgin America,2015-02-21 08:48:13 -0800,
thanks guy ! sweet route rockies airplanemodewason,positive,Virgin America,2015-02-21 08:04:14 -0800,
love music blasting gate boston waiting flight sanfrancisco could get iced coffee !,positive,Virgin America,2015-02-21 04:25:54 -0800,
passenger flt assaulted not flown trust banned crew filed report,negative,Virgin America,2015-02-21 02:36:29 -0800,Bad Flight
current bug website show select departure city selecting destination city,negative,Virgin America,2015-02-20 23:00:24 -0800,Flight Booking Problems
luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think not help,negative,Virgin America,2015-02-20 22:34:27 -0800,Damaged Luggage
thank easy itinerary shift impending weather quick painless amp free,positive,Virgin America,2015-02-20 22:28:03 -0800,
would love see girl inspired become pilot rt free woaw event march abq,neutral,Virgin America,2015-02-20 22:18:41 -0800,
thanks ! good time back ! vodkatonics entire flightsfo,positive,Virgin America,2015-02-20 21:52:51 -0800,
beat expectation share take santa cruz sentinel,neutral,Virgin America,2015-02-20 20:22:04 -0800,
plan start flying direct dal la ?,neutral,Virgin America,2015-02-20 19:36:07 -0800,
big lovegratitudempower w werin oscar vipswagbags avalonhollywood,neutral,Virgin America,2015-02-20 19:35:04 -0800,
great job adding little luxuriesaesthetics improve air travel experience thank keep !,positive,Virgin America,2015-02-20 19:16:04 -0800,
requested window seat confirmed window got stuck middle seat not good way treat silver member,negative,Virgin America,2015-02-20 17:31:01 -0800,Bad Flight
grand budapest hotel oscarscountdown,neutral,Virgin America,2015-02-20 17:28:16 -0800,
missed next trip,neutral,Virgin America,2015-02-20 17:20:14 -0800,
wtf paid direct flight purpose not stop fuel exhausted frequent flier nothing inconvenience !,negative,Virgin America,2015-02-20 17:16:37 -0800,Bad Flight
something wrong website safari iphone,negative,Virgin America,2015-02-20 17:07:21 -0800,Customer Service Issue
thanks gate checking baggage full flight dfwlax giving early boarding sweet,positive,Virgin America,2015-02-20 16:27:32 -0800,
already checked page expired x,negative,Virgin America,2015-02-20 16:23:44 -0800,Can't Tell
boo not refunding seat upgrade fee not want buy first place !,negative,Virgin America,2015-02-20 16:22:36 -0800,Customer Service Issue
share rise q financial result usa today,neutral,Virgin America,2015-02-20 16:22:04 -0800,
add pillow instead lieflat seat first class arm race,neutral,Virgin America,2015-02-20 16:11:47 -0800,
see,positive,Virgin America,2015-02-20 16:02:49 -0800,
way take advantage mayweatherpacquiao,neutral,Virgin America,2015-02-20 15:50:19 -0800,
know flying virgin fight mayweatherpacquiao,neutral,Virgin America,2015-02-20 15:48:45 -0800,
inflight team make experience amazing !,positive,Virgin America,2015-02-20 15:13:30 -0800,
cutest salt pepper shaker ever think guy cannot get better !,positive,Virgin America,2015-02-20 15:10:29 -0800,
moved seat no notice better seat cabin select not behind row selected disappointed,negative,Virgin America,2015-02-20 14:35:38 -0800,Bad Flight
share q result,neutral,Virgin America,2015-02-20 14:22:04 -0800,
fav airline,positive,Virgin America,2015-02-20 14:17:44 -0800,
hot female pilot ! sweet ! dca sfo !,positive,Virgin America,2015-02-20 13:48:57 -0800,
guy going start flying paris ? welcome,neutral,Virgin America,2015-02-20 13:48:54 -0800,
policy flying surgery ? still waiting answer tell doctor,neutral,Virgin America,2015-02-20 13:28:11 -0800,
already contacted central baggage amp sent dm charging dress lost suitcase help,negative,Virgin America,2015-02-20 13:16:56 -0800,Lost Luggage
thank ! !,positive,Virgin America,2015-02-20 12:47:39 -0800,
anything going website ? getting lot error past minute,negative,Virgin America,2015-02-20 12:21:45 -0800,Customer Service Issue
think left something plane yesterday callah !,neutral,Virgin America,2015-02-20 12:17:32 -0800,
need follow back order dm,neutral,Virgin America,2015-02-20 12:09:22 -0800,
need start flying,neutral,Virgin America,2015-02-20 12:08:35 -0800,
told check airline regulation first contacted,neutral,Virgin America,2015-02-20 11:33:18 -0800,
checked flight sfo lax amp told atlantic flying club gold get no benefit ? !,negative,Virgin America,2015-02-20 11:24:22 -0800,Can't Tell
